Budapest, Visitar el Parlamento de Budapest, Recorrer el Bastión de los Pescadores, Relajarse en los Baños Széchenyi, Explorar la Isla Margarita, Pasear por el Puente de las Cadenas
Oporto, Visitar la bodega de vino de Oporto, Pasear por el Puente de Luis I, Explorar la Iglesia de San Francisco, Disfrutar del Mercado de Bolhão, Recorrer la Catedral de Oporto
Milan, Visitar la Catedral de Milán, Ver La Última Cena de Leonardo Da Vinci, Recorrer la Galería Vittorio Emanuele II, Pasear por el Parque Sempione, Explorar el Museo de Ciencia y Tecnología Leonardo Da Vinci
Cannes, Pasear por el Boulevard de la Croisette, Visitar el Palacio de Festivales, Disfrutar de las playas de Cannes, Recorrer el casco antiguo de Le Suquet, Explorar el Museo de la Castre
Denpasar, Visitar el Museo de Bali, Recorrer el Mercado de Badung, Disfrutar de las playas de Kuta, Explorar el templo de Tanah Lot, Ver el arte tradicional de Ubud
Nueva York, Visitar la Estatua de la Libertad, Recorrer Central Park, Explorar el Museo Metropolitano de Arte, Pasear por Times Square, Subir al Empire State Building
Split, Visitar el Palacio de Diocleciano, Recorrer el Museo Arqueológico de Split, Pasear por el paseo marítimo Riva, Disfrutar de la Playa Bacvice, Explorar la Catedral de San Duje
Muscat, Visitar la Gran Mezquita del Sultán Qaboos, Recorrer el Palacio Al Jalali, Explorar el Museo Nacional de Omán, Pasear por el mercado Muttrah Souq, Disfrutar del paseo marítimo de Qurum
Puerto Rico, Visitar el Viejo San Juan, Recorrer el Parque Nacional El Yunque, Explorar el Fuerte San Felipe del Morro, Relajarse en la Playa Flamenco, Visitar las Cuevas de Camuy
Christchurch, Visitar el Jardín Botánico de Christchurch, Recorrer el Museo de Canterbury, Pasear por el Parque Hagley, Explorar el Mercado de Christchurch, Ver el Puente de Christchurch
Phnom Penh, Visitar el Palacio Real de Phnom Penh, Explorar el Museo Nacional de Camboya, Recorrer el mercado central de Phnom Penh, Visitar el Museo Tuol Sleng, Pasear por la orilla del río Mekong
San Miguel de Allende, Recorrer el centro histórico de San Miguel de Allende, Visitar la Parroquia de San Miguel Arcángel, Disfrutar del Mercado de Artesanías, Pasear por el Jardín Allende, Explorar el Museo de Historia
La Haya, Visitar el Museo Mauritshuis, Explorar el Palacio de la Paz, Recorrer el Parque de los Campos de Tulipanes, Pasear por la playa de Scheveningen, Visitar el Museo Escher en el Palacio
Amritsar, Visitar el Templo Dorado, Explorar el Museo de la Memoria de la Guerra, Recorrer el Jallianwala Bagh, Disfrutar del mercado de Hall Bazaar, Visitar el Templo de Mata Lal Devi
Amman, Visitar la Ciudadela de Amán, Explorar el Teatro Romano de Amán, Recorrer el Museo Arqueológico de Jordania, Pasear por Rainbow Street, Disfrutar de la comida en el Mercado de Al-Balad
Dubai, Visitar el Burj Khalifa, Recorrer el Dubai Mall, Disfrutar de un safari por el desierto, Pasear por la playa de Jumeirah, Explorar el Museo de Dubai
Mumbai, Visitar la Puerta de la India, Explorar el Museo Chhatrapati Shivaji Maharaj, Recorrer Marine Drive, Disfrutar de un paseo por el mercado Crawford, Visitar el Templo de Mahalaxmi
Tallin, Visitar la Plaza del Ayuntamiento, Recorrer el Museo de Historia de Estonia, Explorar el Barrio de la Ciudad Vieja, Subir al mirador de Toompea, Disfrutar del Mercado Balti Jaama
Helsinki, Visitar la Fortaleza de Suomenlinna, Recorrer el Museo de Arte Ateneum, Pasear por el Parque Esplanadi, Disfrutar del mercado de Kauppatori, Visitar la Catedral de Helsinki
Foz do Iguacu, Visitar las Cataratas del Iguazú, Recorrer el Parque Nacional Iguazú, Explorar la Itaipu Binacional, Disfrutar del Mercado Municipal, Ver la Garganta del Diablo
Havana, Visitar la Plaza de la Catedral de La Habana, Recorrer el Museo Nacional de Bellas Artes, Pasear por el Malecón, Explorar la Fortaleza de San Carlos de la Cabaña, Visitar el Museo del Ron
Manaos, Visitar el Teatro Amazonas, Recorrer el Mercado Municipal de Manaos, Explorar el Encuentro de las Aguas, Pasear por el puerto de Manaos, Disfrutar del Parque Nacional de Anavilhanas
Khiva, Visitar la Ciudad Amurallada de Itchan Kala, Explorar el Palacio Tash Khauli, Recorrer la Madrasa Mohammed Amin Khan, Pasear por el Minarete Kalta Minor, Disfrutar de la Plaza de la Independencia
Rosario, Visitar el Monumento a la Bandera, Recorrer el Parque Nacional a la Bandera, Pasear por la Costanera de Rosario, Explorar el Museo de Arte Contemporáneo, Visitar el Mercado del Patio
Niza, Pasear por el Paseo de los Ingleses, Visitar el Museo Marc Chagall, Explorar el casco antiguo de Niza, Subir al Castillo de Niza, Disfrutar de la playa de Niza
La Paz, Visitar la Plaza Murillo, Recorrer el Mercado de las Brujas, Explorar el Valle de la Luna, Subir al Teleférico de La Paz, Visitar el Museo de la Coca
Lyon, Visitar la Basílica de Notre-Dame de Fourvière, Recorrer el Museo de Bellas Artes de Lyon, Pasear por el Parque de la Tête d'Or, Explorar el casco antiguo de Lyon, Disfrutar de la gastronomía en los bouchons
Rio de Janeiro, Visitar el Cristo Redentor, Explorar el Pan de Azúcar, Relajarse en la Playa de Copacabana, Recorrer el Jardín Botánico de Río, Disfrutar de la vista desde el Mirante Dona Marta
Sao Paulo, Visitar el Museo de Arte de Sao Paulo (MASP), Recorrer el Parque Ibirapuera, Explorar el Mercado Municipal de Sao Paulo, Visitar la Catedral de la Sé, Disfrutar de la vista desde el Edificio Copan
Tbilisi, Visitar la Fortaleza de Narikala, Recorrer la Iglesia de Sioni, Explorar el Museo Nacional de Georgia, Pasear por el barrio de Abanotubani, Disfrutar del Mercado de las Aguas
Lviv, Visitar la Plaza del Mercado, Recorrer la Catedral de San Jorge, Explorar el Museo de Historia de Lviv, Subir a la Torre del Ayuntamiento, Disfrutar de un café en una de las cafeterías históricas
Burdeos, Visitar la Plaza de la Bolsa, Recorrer el Museo de Arte Contemporáneo, Pasear por el Parque Bordelés, Explorar la Cité du Vin, Disfrutar de la gastronomía en el mercado de la Capucins
Luxor, Visitar el Valle de los Reyes, Explorar el Templo de Karnak, Recorrer el Museo de Luxor, Disfrutar del Nilo en un paseo en barco, Visitar el Templo de Hatshepsut
Varsovia, Visitar el Castillo Real de Varsovia, Recorrer el Museo de Historia de los Judíos Polacos, Pasear por el Parque Łazienki, Subir a la Torre del Palacio de Cultura y Ciencia, Disfrutar del Mercado de Świętokrzyska
Faro, Visitar la Ciudad Vieja de Faro, Recorrer el Museo Municipal de Faro, Pasear por la Isla de Faro, Explorar la Catedral de Faro, Disfrutar de la playa de Praia de Faro
La Habana, Visitar la Plaza de la Catedral de La Habana, Recorrer el Museo Nacional de Bellas Artes, Pasear por el Malecón, Explorar la Fortaleza de San Carlos de la Cabaña, Visitar el Museo del Ron
Portofino, Pasear por el Puerto de Portofino, Visitar la Iglesia de San Giorgio, Recorrer el Castillo Brown, Disfrutar de la vista desde el mirador, Relajarse en la Playa de Paraggi
Aix-en-Provence, Visitar el Museo Granet, Recorrer el Cours Mirabeau, Pasear por el Mercado de Aix, Explorar la Catedral de Saint-Sauveur, Disfrutar de las fuentes termales de Aix
Ginebra, Visitar el Lago de Ginebra, Recorrer el Museo de Historia Natural, Pasear por el Parque de los Bastiones, Ver el Jet d'Eau, Explorar la Catedral de San Pedro
Osaka, Visitar el Castillo de Osaka, Explorar el Acuario Kaiyukan, Recorrer el Mercado Kuromon Ichiba, Pasear por el Distrito Dotonbori, Disfrutar de las vistas desde el Umeda Sky Building
Montreal, Visitar la Basílica de Notre-Dame, Recorrer el Museo de Bellas Artes, Pasear por el Parque Mont Royal, Disfrutar de la comida en el Mercado Jean-Talon, Explorar el Viejo Montreal
Mendoza, Visitar las bodegas de vino, Recorrer el Parque General San Martín, Disfrutar del Mercado Central, Visitar el Museo del Vino, Pasear por la Avenida Aristides Villanueva
Puno, Visitar el Lago Titicaca, Explorar las Islas flotantes de los Uros, Recorrer el Museo de la Fundación Carlos Dreyer, Visitar la Catedral de Puno, Disfrutar del mercado artesanal de Puno
Lanzarote, Visitar el Parque Nacional Timanfaya, Explorar las Cuevas de los Verdes, Recorrer la Fundación César Manrique, Relajarse en la Playa de Papagayo, Disfrutar de los Jameos del Agua
Tokio, Visitar el Templo Senso-ji, Explorar el Museo Nacional de Tokio, Pasear por el Parque Ueno, Recorrer el Mercado Tsukiji, Subir al Edificio del Gobierno Metropolitano de Tokio
Kyoto, Visitar el Templo Kinkaku-ji, Recorrer el Bosque de Bambú de Arashiyama, Explorar el Fushimi Inari Taisha, Pasear por el Barrio Gion, Disfrutar de los jardines zen del Templo Ryoan-ji
Cape Town, Visitar la Montaña de la Mesa, Recorrer el Museo del Apartheid, Pasear por el V&A Waterfront, Explorar el Jardín Botánico de Kirstenbosch, Disfrutar de la playa de Camps Bay
Rethymno, Visitar la Fortaleza de Fortezza, Recorrer el Museo Arqueológico de Rethymno, Pasear por el puerto veneciano, Explorar las calles del casco antiguo, Disfrutar de la playa de Rethymno
Paraty, Recorrer el Centro Histórico de Paraty, Visitar la Iglesia de Santa Rita, Explorar las playas cercanas, Pasear por la Plaza de la Matriz, Disfrutar del Mercado de Artesanía
Kiev, Visitar la Catedral de Santa Sofía, Recorrer el Monasterio de las Grutas de Kiev, Pasear por la Plaza de la Independencia, Explorar el Museo Nacional de Historia de Ucrania, Disfrutar de la vista desde el Observatorio de Kiev
Zurich, Visitar el Museo Nacional Suizo, Recorrer el Lago de Zurich, Pasear por el Casco Antiguo, Explorar el Museo de Arte de Zurich, Subir a la Torre Uetliberg
Melbourne, Visitar los Jardines Botánicos de Melbourne, Recorrer el Museo de Melbourne, Pasear por el Mercado Queen Victoria, Explorar la Galería Nacional de Victoria, Disfrutar de los cafés de laneways
Nairobi, Visitar el Parque Nacional de Nairobi, Recorrer el Museo Nacional de Nairobi, Explorar el Orfanato de Elefantes Sheldrick, Pasear por el Mercado Maasai, Disfrutar del Giraffe Centre
Puerto Vallarta, Pasear por el Malecón, Visitar la Isla Cuale, Recorrer el Museo de Arte de Puerto Vallarta, Explorar el Mercado de Artesanías, Disfrutar de las playas de Mismaloya
Trinidad, Visitar la Plaza Mayor de Trinidad, Recorrer el Museo Romántico, Pasear por las calles empedradas del centro histórico, Explorar la Playa Ancón, Disfrutar del Mercado de Artesanía
Bled, Visitar el Lago Bled, Recorrer el Castillo de Bled, Pasear por la isla de Bled, Subir al mirador de Ojstrica, Disfrutar del Parque Nacional Triglav
Luxembourg, Visitar el Palacio Gran Ducal, Recorrer las Casamatas del Bock, Pasear por la Plaza Guillaume II, Explorar el Museo de Historia de la Ciudad, Disfrutar del Parque de la Ciudad
Roma, Visitar el Coliseo, Recorrer el Vaticano y la Capilla Sixtina, Pasear por la Plaza de España, Explorar el Foro Romano, Disfrutar de la Fontana di Trevi
Riad, Visitar la Torre Kingdom Centre, Recorrer el Museo Nacional de Arabia Saudita, Explorar el Distrito histórico de Diriyah, Pasear por el Parque Al-Muraba'a, Disfrutar de los mercados locales en Souq Al-Zal
Oslo, Visitar el Museo de Barcos Vikingos, Recorrer el Parque Vigeland, Pasear por el Museo Munch, Explorar el Palacio Real de Oslo, Disfrutar del Mercado de Navidad en diciembre
Barcelona, Visitar la Sagrada Familia, Recorrer el Parque Güell, Pasear por Las Ramblas, Explorar el Museo Picasso, Disfrutar de la playa de la Barceloneta
Jerusalem, Visitar el Muro de los Lamentos, Recorrer la Iglesia del Santo Sepulcro, Pasear por el Mercado de Mahane Yehuda, Explorar el Museo de Israel, Disfrutar de la Ciudad Vieja
Calgary, Visitar la Torre de Calgary, Recorrer el Museo Glenbow, Pasear por el Parque Nacional Banff, Explorar el Mercado de Calgary, Disfrutar de las vistas desde el Olympic Park
Saint Petersburg, Visitar el Hermitage, Recorrer la Iglesia de San Isaac, Pasear por el Jardín de Verano, Explorar el Palacio de Catalina, Disfrutar de la Nevsky Prospect
Bratislava, Visitar el Castillo de Bratislava, Recorrer la Ciudad Vieja, Pasear por el Puente Nuevo, Explorar el Museo de la Ciudad, Disfrutar de las vistas desde la Torre de la Iglesia de San Martín
Cuenca, Visitar la Ciudad Vieja de Cuenca, Recorrer la Catedral de Santa María, Pasear por el Parque de la Abadía, Explorar el Museo de Cuenca, Disfrutar del mirador de las Casas Colgadas
Seul, Visitar el Palacio Gyeongbokgung, Recorrer el Museo Nacional de Corea, Pasear por el Mercado de Namdaemun, Explorar la Torre N-Seoul, Disfrutar del barrio Insadong
Arequipa, Visitar el Monasterio de Santa Catalina, Recorrer la Plaza de Armas, Pasear por el Mercado de San Camilo, Explorar el Museo Santuarios Andinos, Disfrutar de la vista del Volcán Misti
Ciudad de Mexico, Visitar el Zócalo, Recorrer el Museo Frida Kahlo, Pasear por el Bosque de Chapultepec, Explorar las Pirámides de Teotihuacan, Disfrutar del Mercado de la Merced
Kioto, Visitar el Templo Kinkaku-ji, Recorrer el Bosque de Bambú de Arashiyama, Explorar el Fushimi Inari Taisha, Pasear por el Barrio Gion, Disfrutar de los jardines zen del Templo Ryoan-ji
Yerevan, Visitar la Plaza de la República, Recorrer el Museo Nacional de Armenia, Pasear por la Cascada de Yerevan, Explorar la Iglesia de San Gregorio el Iluminador, Disfrutar del Mercado de Vernissage
Nagasaki, Visitar el Parque de la Paz de Nagasaki, Recorrer el Museo de la Bomba Atómica, Pasear por el Monte Inasa, Explorar la Calle de la Iglesia Oura, Disfrutar de las vistas desde el Puerto de Nagasaki
Doha, Visitar el Museo de Arte Islámico, Recorrer el Souq Waqif, Pasear por el Corniche de Doha, Explorar el Centro Cultural Katara, Disfrutar del Museo Nacional de Qatar
Cluj-Napoca, Visitar la Iglesia de San Miguel, Recorrer el Museo de Historia de Cluj-Napoca, Pasear por el Parque Central, Explorar el Museo de Arte, Disfrutar de la Plaza Unirii
Tallinn, Visitar el Museo al Aire Libre de Estonia, Recorrer la Ciudad Vieja, Pasear por el Museo de Arte de Kumu, Explorar la Torre Tall Hermann, Disfrutar del Mercado de Navidad en la Plaza del Ayuntamiento
Taipéi, Visitar el Taipei 101, Recorrer el Museo Nacional de Taiwán, Pasear por el Mercado Nocturno de Shilin, Explorar el Templo Longshan, Disfrutar del Parque Nacional Yangmingshan
Granada, Visitar la Alhambra, Recorrer los Jardines del Generalife, Pasear por el Albaicín, Explorar la Catedral de Granada, Disfrutar del Mirador de San Nicolás
Kuala Lumpur, Visitar las Torres Petronas, Recorrer el Museo de Arte Islámico, Pasear por los Jardines del Lago, Explorar el Mercado Central, Disfrutar de las vistas desde la Torre KL
Antigua, Visitar las Ruinas de la Catedral de Antigua, Recorrer el Parque Central, Pasear por el Mercado de Artesanías, Explorar el Museo de Arte Colonial, Disfrutar de las vistas desde el Cerro de la Cruz
Reykjavik, Visitar la Iglesia Hallgrímskirkja, Recorrer el Museo Nacional de Islandia, Pasear por el Puerto Viejo, Explorar el Lago Tjörnin, Disfrutar del Blue Lagoon
Lisboa, Visitar la Torre de Belém, Recorrer el Museo de Arte Antiguo, Pasear por el Barrio de Alfama, Explorar el Monasterio de los Jerónimos, Disfrutar de la Plaza del Comercio
Manama, Visitar la Gran Mezquita del Sagrado Corán, Recorrer el Museo Nacional de Bahrein, Pasear por el Souq de Manama, Explorar el Palacio Real, Disfrutar de las vistas desde el Centro Comercial del Mar
Sucre, Visitar la Plaza 25 de Mayo, Recorrer la Casa de la Libertad, Pasear por el Mercado Central, Explorar el Museo ASUR, Disfrutar de las vistas desde el Mirador de La Recoleta
Pyongyang, Visitar la Torre Juche, Recorrer el Museo de la Revolución, Pasear por la Plaza Kim Il-sung, Explorar la Gran Sala de los Mandatos, Disfrutar del Lago Changjon
Bansko, Visitar el Complejo de Esquí de Bansko, Recorrer el Museo de Historia de Bansko, Pasear por la Iglesia de la Santa Trinidad, Explorar el Parque Nacional Pirin, Disfrutar de las vistas desde el Monte Vihren
Bergen, Visitar el Mercado de Pescado de Bergen, Recorrer el Museo Hanseático, Pasear por Bryggen (Patrimonio de la Humanidad), Explorar el Monte Fløyen, Disfrutar del Museo de Arte KODE
Matera, Visitar los Sassi de Matera, Recorrer el Museo de Arte Medieval, Pasear por la Catedral de Matera, Explorar el Parque de la Murgia, Disfrutar de las vistas desde el Belvedere di Murgia Timone
Quebec, Visitar el Viejo Quebec (Patrimonio de la Humanidad), Recorrer el Museo de la Civilización, Pasear por el Castillo Frontenac, Explorar el Parque de los Montes de la Charlevoix, Disfrutar del Mercado de Old Port
Bariloche, Visitar el Lago Nahuel Huapi, Recorrer el Centro Cívico de Bariloche, Pasear por la Avenida Bustillo, Explorar el Cerro Catedral, Disfrutar del Parque Nacional Nahuel Huapi
Almaty, Visitar el Parque de la Ciudad de Almaty, Recorrer el Museo Central de Kazajistán, Pasear por la Plaza de la República, Explorar el Lago Medeo, Disfrutar de las vistas desde el Monte Kok-Tobe
Miami, Visitar el Parque Nacional de los Everglades, Recorrer el Museo de Arte de Miami, Pasear por Ocean Drive, Explorar la Isla de Star, Disfrutar de la Playa de South Beach
Cairo, Visitar las Pirámides de Giza, Recorrer el Museo Egipcio, Pasear por el Mercado Khan el-Khalili, Explorar la Ciudadela de Saladino, Disfrutar de la vista del Nilo
San Petersburgo, Visitar el Museo Hermitage, Recorrer la Iglesia de San Isaac, Pasear por la Plaza del Palacio, Explorar el Palacio de Catalina, Disfrutar de los canales de San Petersburgo
Rio, Visitar el Cristo Redentor, Recorrer el Pan de Azúcar, Pasear por las playas de Copacabana e Ipanema, Explorar el Museo de Arte Moderno, Disfrutar del Mercado de Saara
Belem, Visitar la Torre de Belém, Recorrer el Monasterio de los Jerónimos, Pasear por el Mercado de Belem, Explorar el Museo de Arte Antiguo, Disfrutar del Monumento a los Descubridores
Estocolmo, Visitar el Museo Vasa, Recorrer el Palacio Real de Estocolmo, Pasear por Gamla Stan (Ciudad Vieja), Explorar el Museo de Moderna, Disfrutar del Parque Skansen
Praga, Visitar el Castillo de Praga, Recorrer el Puente de Carlos, Pasear por la Plaza de la Ciudad Vieja, Explorar el Museo Nacional de Praga, Disfrutar del Mercado de Navidad en diciembre
Casablanca, Visitar la Mezquita Hassan II, Recorrer la Plaza Mohamed V, Pasear por el Corniche, Explorar el Museo de Arte de Casablanca, Disfrutar de las vistas desde la Torre de Hassan
Kotor, Visitar la Ciudad Vieja de Kotor, Recorrer la Fortaleza de San Juan, Pasear por la Plaza de las Armas, Explorar el Museo Marítimo de Kotor, Disfrutar del puerto de Kotor
Yogyakarta, Visitar el Templo de Borobudur, Recorrer el Palacio del Sultán, Pasear por la calle Malioboro, Explorar el Templo Prambanan, Disfrutar de la vista del Monte Merapi
Florence, Visitar la Galería de los Uffizi, Recorrer el Duomo de Florencia, Pasear por el Ponte Vecchio, Explorar el Palacio Pitti, Disfrutar de los jardines de Boboli
Monterrey, Visitar el Parque Fundidora, Recorrer el Museo de Historia Mexicana, Pasear por el Cerro de la Silla, Explorar el Barrio Antiguo, Disfrutar del Mercado de La Purísima
Tenerife, Visitar el Parque Nacional del Teide, Recorrer el Auditorio de Tenerife, Pasear por la Playa de Las Teresitas, Explorar el Jardín Botánico, Disfrutar de la Laguna de la Cruz
Edimburgo, Visitar el Castillo de Edimburgo, Recorrer el Museo Nacional de Escocia, Pasear por la Royal Mile, Explorar el Palacio de Holyroodhouse, Disfrutar del Parque Princes Street Gardens
Tulum, Visitar las Ruinas de Tulum, Recorrer el Parque Nacional de Tulum, Pasear por la Playa Paraíso, Explorar el Cenote Dos Ojos, Disfrutar del Mercado de Artesanías
Agadir, Visitar la Playa de Agadir, Recorrer el Mercado Souk El Had, Pasear por el Valle de Paradise, Explorar el Parque Nacional de Souss-Massa, Disfrutar de la Marina de Agadir
Genoa, Visitar el Acuario de Génova, Recorrer el Palacio Ducal de Génova, Pasear por el Puerto Antiguo, Explorar la Catedral de San Lorenzo, Disfrutar de las vistas desde la Torre del Municipio
Lusaka, Visitar el Parque Nacional de South Luangwa, Recorrer el Museo Nacional de Zambia, Pasear por el Mercado de Lusaka, Explorar el Parque Nacional Kafue, Disfrutar del Lago Tanganyika
Las Vegas, Visitar el Strip de Las Vegas, Recorrer el Museo de la Mafia, Pasear por el Gran Cañón, Explorar el Museo de Historia Natural, Disfrutar del espectáculo de Cirque du Soleil
Georgetown, Visitar el Museo y Galería de Arte de Guyana, Recorrer la Plaza de la Independencia, Pasear por el Mercado de Stabroek, Explorar el Jardín Botánico, Disfrutar de la Torre del Reloj
Kansas City, Visitar el Museo de Arte Nelson-Atkins, Recorrer el Monumento Nacional a la Independencia, Pasear por el Distrito de Power and Light, Explorar el Museo de Historia de Kansas City, Disfrutar del Mercado de City Market
Abu Dhabi, Visitar la Gran Mezquita Sheikh Zayed, Recorrer el Louvre Abu Dhabi, Pasear por la Corniche, Explorar el Museo del Louvre, Disfrutar del Mercado de Qasr Al Hosn
Bangkok, Visitar el Gran Palacio, Recorrer el Templo del Buda Esmeralda, Pasear por los mercados flotantes, Explorar el Mercado Chatuchak, Disfrutar de un paseo en barco por el río Chao Phraya
Santiago, Visitar el Cerro San Cristóbal, Recorrer el Museo de la Memoria y los Derechos Humanos, Pasear por el Barrio Bellavista, Explorar el Parque Metropolitano, Disfrutar del Mercado Central
Lijiang, Visitar la Ciudad Vieja de Lijiang (Patrimonio de la Humanidad), Recorrer el Parque de la Montaña Negra, Pasear por el Lago del Dragón, Explorar el Palacio de Mu, Disfrutar del Mercado de Noche de Lijiang
Madrid, Visitar el Museo del Prado, Recorrer el Parque del Retiro, Pasear por la Plaza Mayor, Explorar el Palacio Real, Disfrutar de las tapas en el Mercado de San Miguel
Toronto, Visitar la CN Tower, Recorrer el Museo Real de Ontario, Pasear por el Distrito de los Teatros, Explorar el Mercado St. Lawrence, Disfrutar del Parque High Park
Tangier, Visitar la Medina de Tánger, Recorrer el Museo de la Kasbah, Pasear por el Puerto de Tánger, Explorar las Cuevas de Hércules, Disfrutar del Mercado de Tánger
Vancouver, Visitar el Parque Stanley, Recorrer el Museo de Antropología, Pasear por Granville Island, Explorar el Jardín VanDusen, Disfrutar del Mercado Público de Lonsdale Quay
Hong Kong, Visitar el Victoria Peak, Recorrer el Museo de Historia de Hong Kong, Pasear por el Mercado de las Mujeres, Explorar el Templo Wong Tai Sin, Disfrutar del puerto de Victoria
Ibiza, Visitar las Playas de Ibiza, Recorrer la Ciudad Vieja de Ibiza (Patrimonio de la Humanidad), Pasear por el Mercado Hippy de Las Dalias, Explorar la Dalt Vila, Disfrutar de la vida nocturna en Pacha
Johor Bahru, Visitar el Palacio Real de Johor, Recorrer el Museo de Historia de Johor, Pasear por el Parque de la Ciudad, Explorar el Mercado de Johor Bahru, Disfrutar del Legoland Malaysia Resort
Quito, Visitar la Mitad del Mundo, Recorrer el Museo de la Ciudad, Pasear por el Centro Histórico (Patrimonio de la Humanidad), Explorar el Parque La Carolina, Disfrutar del Mercado de San Francisco
Siem Reap, Visitar los Templos de Angkor, Recorrer el Museo Nacional de Angkor, Pasear por la calle Pub Street, Explorar el Templo de Bayón, Disfrutar del Mercado Nocturno de Siem Reap
Moscu, Visitar el Kremlin de Moscú, Recorrer la Plaza Roja, Pasear por la Catedral de San Basilio, Explorar el Museo Pushkin, Disfrutar del Mercado de Izmailovsky
Cancun, Visitar las Ruinas de Tulum, Recorrer el Parque Xcaret, Pasear por la Isla Mujeres, Explorar el Museo Maya de Cancun, Disfrutar de las playas de la Zona Hotelera
Amsterdam, Visitar el Museo de Van Gogh, Recorrer la Casa de Ana Frank, Pasear por los canales de Ámsterdam, Explorar el Rijksmuseum, Disfrutar del Mercado de Flores
